Facility ID	Facility Name	Address	City	State	ZIP Code	County Name	Unweighted Normalized Clinical Outcomes Domain Score	Weighted Normalized Clinical Outcomes Domain Score	Unweighted Person and Community Engagement Domain Score	Weighted Person and Community Engagement Domain Score	Unweighted Normalized Safety Domain Score	Weighted Safety Domain Score	Unweighted Normalized Efficiency and Cost Reduction Domain Score	Weighted Efficiency and Cost Reduction Domain Score	Total Performance Score	Location
290049	RENOWN SOUTH MEADOWS MEDICAL CENTER	10101 DOUBLE R BLVD	RENO	NV	89521	Washoe	40	13.33333333	29	9.666666667	Not Available	Not Available	90	30	53	POINT (-119.75839299999998 39.435894)
450848	MEMORIAL HERMANN SUGAR LAND HOSPITAL	17500 W GRAND PARKWAY SOUTH	SUGAR LAND	TX	77479	Fort Bend	57.5	14.375	23	5.75	71.66666667	17.91666667	10	2.5	40.54166667	POINT (-95.68791 29.56408)
140084	VISTA MEDICAL CENTER EAST	1324 NORTH SHERIDAN ROAD	WAUKEGAN	IL	60085	Lake	85	21.25	9	2.25	41.66666667	10.41666667	0	0	33.91666667	POINT (-87.83096400000001 42.378264)
360098	LAKE HEALTH	7590 AUBURN ROAD	CONCORD	OH	44077	Lake	65	16.25	19	4.75	81.66666667	20.41666667	0	0	41.41666667	POINT (-81.24466 41.664251)
240093	MAYO CLINIC HEALTH SYSTEM - MANKATO	1025 MARSH STREET	MANKATO	MN	56001	Blue Earth	57.5	14.375	22	5.5	45	11.25	40	10	41.125	POINT (-93.983738 44.165047)
330270	HOSPITAL FOR SPECIAL SURGERY	535 EAST 70TH STREET	NEW YORK	NY	10021	New York	Not Available	Not Available	79	26.33333333	60	20	40	13.33333333	59.66666667	POINT (-73.953128 40.764866)
390160	CANONSBURG GENERAL HOSPITAL	100 MEDICAL BOULEVARD	CANONSBURG	PA	15317	Washington	73.33333333	18.33333333	34	8.5	10	2.5	10	2.5	31.83333333	POINT (-80.190434 40.248477)
260052	MERCY HOSPITAL WASHINGTON	901 EAST 5TH STREET	WASHINGTON	MO	63090	Franklin	57.5	14.375	31	7.75	50	12.5	20	5	39.625	POINT (-91.002023 38.5522)
100248	LARGO MEDICAL CENTER	201 14TH ST SW	LARGO	FL	33770	Pinellas	55	13.75	13	3.25	32	8	0	0	25	POINT (-82.802671 27.914914)
510002	GREENBRIER VALLEY MEDICAL CENTER	1320 MAPLEWOOD AVENUE	RONCEVERTE	WV	24970	Greenbrier	50	12.5	54	13.5	16.66666667	4.166666667	40	10	40.16666667	
170176	OVERLAND PARK REG MED CTR	10500 QUIVIRA ROAD	OVERLAND PARK	KS	66215	Johnson	82.5	20.625	24	6	43.33333333	10.83333333	10	2.5	39.95833333	POINT (-94.723726 38.937613)
280020	CHI HEALTH ST ELIZABETH	555 SOUTH 70TH ST	LINCOLN	NE	68510	Lancaster	57.5	14.375	14	3.5	23.33333333	5.833333333	10	2.5	26.20833333	POINT (-96.625179 40.807609)
50573	EISENHOWER MEDICAL CENTER	39-000 BOB HOPE DRIVE	RANCHO MIRAGE	CA	92270	Riverside	60	15	21	5.25	36	9	30	7.5	36.75	POINT (-116.408085 33.764852)
250067	NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT	150 MEDICAL CENTER DRIVE	WEST POINT	MS	39773	Clay	40	10	13	3.25	20	5	50	12.5	30.75	POINT (-88.661549 33.618616)
40041	ST MARYS REGIONAL MEDICAL CENTER	1808 WEST MAIN STREET	RUSSELLVILLE	AR	72801	Pope	52.5	13.125	18	4.5	30	7.5	20	5	30.125	POINT (-93.149908 35.28286)
360003	"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC"	234 GOODMAN STREET	CINCINNATI	OH	45219	Hamilton	62.5	15.625	20	5	6.666666667	1.666666667	0	0	22.29166667	POINT (-84.502562 39.136728)
220065	BAYSTATE NOBLE HOSPITAL	115 WEST SILVER STREET	WESTFIELD	MA	1085	Hampden	77.5	25.83333333	37	12.33333333	Not Available	Not Available	20	6.666666667	44.83333333	POINT (-72.760397 42.117789)
220002	MOUNT AUBURN HOSPITAL	330 MOUNT AUBURN STREET	CAMBRIDGE	MA	2138	Middlesex	82.5	20.625	32	8	50	12.5	30	7.5	48.625	POINT (-71.134107 42.374917)
450029	LAREDO MEDICAL CENTER	1700 EAST SAUNDERS	LAREDO	TX	78044	Webb	57.5	14.375	25	6.25	46.66666667	11.66666667	0	0	32.29166667	POINT (-99.478571 27.530600000000003)
450054	BAYLOR SCOTT & WHITE  CLINIC - TEMPLE	2401 S  31ST ST	TEMPLE	TX	76508	Bell	65	16.25	32	8	41.66666667	10.41666667	10	2.5	37.16666667	POINT (-97.365938 31.078693000000005)
120019	KONA COMMUNITY HOSPITAL	79-1019 HAUKAPILA STREET	KEALAKEKUA	HI	96750	Hawaii	35	8.75	16	4	74	18.5	70	17.5	48.75	POINT (-155.917719 19.519237000000004)
450176	MISSION REGIONAL MEDICAL CENTER	900 SOUTH BRYAN ROAD	MISSION	TX	78572	Hidalgo	97.5	24.375	19	4.75	38	9.5	40	10	48.625	POINT (-98.312668 26.196599)
30088	BANNER BAYWOOD MEDICAL CENTER	6644 EAST BAYWOOD AVENUE	MESA	AZ	85206	Maricopa	47.5	11.875	17	4.25	54	13.5	10	2.5	32.125	POINT (-111.688045 33.410465)
450148	TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE	201 WALLS DRIVE	CLEBURNE	TX	76033	Johnson	37.5	9.375	39	9.75	68	17	0	0	36.125	POINT (-97.43918900000001 32.330845)
390195	MAIN LINE HOSPITAL LANKENAU	100 LANCASTER AVE	WYNNEWOOD	PA	19096	Montgomery	90	22.5	34	8.5	23.33333333	5.833333333	10	2.5	39.33333333	
390266	GROVE CITY MEDICAL CENTER	631 NORTH BROAD STREET EXT.	GROVE CITY	PA	16127	Mercer	33.33333333	11.11111111	45	15	Not Available	Not Available	0	0	26.11111111	POINT (-80.083156 41.170709)
260219	PROGRESS WEST HOSPITAL	2 PROGRESS POINT PKWY	O FALLON	MO	63368	Saint Charles	42.5	10.625	38	9.5	25	6.25	30	7.5	33.875	POINT (-90.696597 38.715097)
390036	HERITAGE VALLEY BEAVER	1000 DUTCH RIDGE ROAD	BEAVER	PA	15009	Beaver	47.5	11.875	16	4	26.66666667	6.666666667	0	0	22.54166667	POINT (-80.324352 40.710345)
330074	F F THOMPSON HOSPITAL	350 PARRISH STREET	CANANDAIGUA	NY	14424	Ontario	67.5	16.875	20	5	36	9	60	15	45.875	POINT (-77.288198 42.875591)
390113	MEADVILLE MEDICAL CENTER	751 LIBERTY STREET	MEADVILLE	PA	16335	Crawford	60	15	39	9.75	62	15.5	10	2.5	42.75	POINT (-80.146336 41.641788)
340068	COLUMBUS REGIONAL HEALTHCARE SYSTEM	500 JEFFERSON ST	WHITEVILLE	NC	28472	Columbus	47.5	11.875	14	3.5	36.66666667	9.166666667	20	5	29.54166667	POINT (-78.693644 34.338657)
380022	SAMARITAN ALBANY GENERAL HOSPITAL	1046 6TH AVENUE SW	ALBANY	OR	97321	Linn	60	15	68	17	80	20	90	22.5	74.5	POINT (-123.116771 44.632067)
440144	TENNOVA HEALTHCARE-HARTON	1801 N JACKSON ST BOX 460	TULLAHOMA	TN	37388	Coffee	67.5	16.875	15	3.75	75	18.75	10	2.5	41.875	POINT (-86.230533 35.382921)
70016	SAINT MARY'S HOSPITAL	56 FRANKLIN STEET	WATERBURY	CT	6706	New Haven	65	16.25	18	4.5	38.33333333	9.583333333	0	0	30.33333333	
310070	SAINT PETER'S UNIVERSITY HOSPITAL	254 EASTON AVE	NEW BRUNSWICK	NJ	8901	Middlesex	92.5	23.125	44	11	63.33333333	15.83333333	20	5	54.95833333	POINT (-74.45913 40.501846)
190026	RAPIDES REGIONAL MEDICAL CENTER	211 4TH STREET	ALEXANDRIA	LA	71301	Rapides	55	13.75	37	9.25	51.66666667	12.91666667	0	0	35.91666667	POINT (-92.450481 31.315020999999998)
50510	KAISER FOUNDATION HOSPITAL	99 MONTECILLO RD	SAN RAFAEL	CA	94903	Marin	Not Available	Not Available	30	10	37.5	12.5	100	33.33333333	55.83333333	POINT (-122.55388100000002 38.004335)
330350	UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )	445 LENOX ROAD	BROOKLYN	NY	11203	Kings	56.66666667	14.16666667	21	5.25	51.66666667	12.91666667	0	0	32.33333333	POINT (-73.94516 40.654457)
450661	ODESSA REGIONAL MEDICAL CENTER	520 E 6TH STREET	ODESSA	TX	79761	Ector	75	18.75	12	3	72	18	10	2.5	42.25	POINT (-102.366027 31.851457999999997)
230047	HENRY FORD MACOMB HOSPITAL	15855 NINETEEN MILE RD	CLINTON TOWNSHIP	MI	48038	Macomb	70	17.5	8	2	30	7.5	10	2.5	29.5	POINT (-82.963405 42.612671)
140172	FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS	20201 S CRAWFORD AVENUE	OLYMPIA FIELDS	IL	60461	Cook	37.5	9.375	9	2.25	45	11.25	0	0	22.875	
150023	UNION HOSPITAL INC	1606 N SEVENTH ST	TERRE HAUTE	IN	47804	Vigo	45	11.25	44	11	20	5	0	0	27.25	POINT (-87.407085 39.484862)
50455	ADVENTIST HEALTH BAKERSFIELD	2615 CHESTER AVENUE	BAKERSFIELD	CA	93301	Kern	30	7.5	16	4	60	15	0	0	26.5	POINT (-119.01885700000001 35.383056)
100246	LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE	1700 S 23RD ST	FORT PIERCE	FL	34950	Saint Lucie	70	17.5	7	1.75	28.33333333	7.083333333	0	0	26.33333333	POINT (-80.347352 27.431942)
180001	ST ELIZABETH FT THOMAS	85 NORTH GRAND AVENUE	FORT THOMAS	KY	41075	Campbell	20	5	38	9.5	50	12.5	0	0	27	POINT (-84.464654 39.078281)
50192	ADVENTIST HEALTH REEDLEY	372 W CYPRESS AVE	REEDLEY	CA	93654	Fresno	Not Available	Not Available	25	8.333333333	50	16.66666667	50	16.66666667	41.66666667	POINT (-119.45169500000002 36.607812)
450893	THE HEART HOSPITAL BAYLOR DENTON	2801 SOUTH MAYHILL ROAD	DENTON	TX	76208	Denton	75	25	98	32.66666667	Not Available	Not Available	60	20	77.66666667	POINT (-97.088199 33.176970000000004)
360155	SOUTHWEST GENERAL HEALTH CENTER	18697 BAGLEY ROAD	MIDDLEBURG HEIGHTS	OH	44130	Cuyahoga	87.5	21.875	47	11.75	30	7.5	0	0	41.125	POINT (-81.83291 41.37208)
150001	JOHNSON MEMORIAL HOSPITAL	1125 W JEFFERSON ST	FRANKLIN	IN	46131	Johnson	33.33333333	8.333333333	41	10.25	80	20	50	12.5	51.08333333	POINT (-86.076663 39.48059800000001)
360036	WOOSTER COMMUNITY HOSPITAL	1761 BEALL AVENUE	WOOSTER	OH	44691	Wayne	50	12.5	37	9.25	60	15	30	7.5	44.25	POINT (-81.934247 40.820713)
240038	UNITED HOSPITAL	333 NORTH SMITH AVENUE	SAINT PAUL	MN	55102	Ramsey	77.5	19.375	59	14.75	53.33333333	13.33333333	20	5	52.45833333	POINT (-93.108302 44.94185)
500060	CASCADE VALLEY HOSPITAL	330 S STILLAGUAMISH AVE	ARLINGTON	WA	98223	Snohomish	50	12.5	17	4.25	80	20	0	0	36.75	POINT (-122.117589 48.189802)
100022	JACKSON MEMORIAL HOSPITAL	1611 NW 12TH AVE	MIAMI	FL	33136	Miami-Dade	47.5	11.875	15	3.75	26.66666667	6.666666667	0	0	22.29166667	POINT (-80.214945 25.790612000000003)
360055	TRUMBULL REGIONAL MEDICAL CENTER	1350 EAST MARKET STREET	WARREN	OH	44482	Trumbull	60	15	10	2.5	33.33333333	8.333333333	0	0	25.83333333	POINT (-80.798765 41.236461)
490004	SENTARA RMH MEDICAL CENTER	2010 HEALTH CAMPUS DRIVE	HARRISONBURG	VA	22801	Harrisonburg City	92.5	23.125	32	8	40	10	50	12.5	53.625	POINT (-78.858322 38.40614)
450702	LONGVIEW REGIONAL MEDICAL CENTER	2901 N FOURTH ST	LONGVIEW	TX	75605	Gregg	60	15	17	4.25	33.33333333	8.333333333	0	0	27.58333333	POINT (-94.728814 32.532201)
460026	SEVIER VALLEY HOSPITAL	1000 NORTH MAIN STREET	RICHFIELD	UT	84701	Sevier	80	26.66666667	59	19.66666667	Not Available	Not Available	0	0	46.33333333	POINT (-112.084663 38.783275)
180124	TRISTAR GREENVIEW REGIONAL HOSPITAL	1801 ASHLEY CIRCLE	BOWLING GREEN	KY	42104	Warren	55	13.75	37	9.25	32.5	8.125	0	0	31.125	POINT (-86.435599 36.965672000000005)
150169	COMMUNITY HOSPITAL NORTH	7150 CLEARVISTA DR	INDIANAPOLIS	IN	46256	Marion	32.5	8.125	31	7.75	23.33333333	5.833333333	10	2.5	24.20833333	POINT (-86.043072 39.900033)
370236	INTEGRIS HEALTH EDMOND	4801 INTEGRIS PARKWAY	EDMOND	OK	73034	Oklahoma	37.5	9.375	63	15.75	53.33333333	13.33333333	30	7.5	45.95833333	POINT (-97.420038 35.643593)
60128	LONGS PEAK HOSPITAL	1750 EAST KEN PRATT BOULEVARD	LONGMONT	CO	80504	Boulder	Not Available	Not Available	45	15	0	0	40	13.33333333	28.33333333	
490130	RIVERSIDE WALTER REED HOSPITAL	7519 HOSPITAL ROAD	GLOUCESTER	VA	23061	Gloucester	42.5	10.625	29	7.25	13.33333333	3.333333333	60	15	36.20833333	POINT (-76.54318000000002 37.419475)
50140	KAISER FOUNDATION HOSPITAL FONTANA	9961 SIERRA AVE	FONTANA	CA	92335	San Bernardino	Not Available	Not Available	30	10	40	13.33333333	40	13.33333333	36.66666667	POINT (-117.433458 34.072271)
490101	INOVA FAIR OAKS HOSPITAL	3600 JOSEPH SIEWICK DRIVE	FAIRFAX	VA	22033	Fairfax	97.5	24.375	30	7.5	30	7.5	30	7.5	46.875	POINT (-77.382499 38.882234)
150091	PARKVIEW HUNTINGTON HOSPITAL	2001 STULTS RD	HUNTINGTON	IN	46750	Huntington	43.33333333	10.83333333	85	21.25	75	18.75	50	12.5	63.33333333	POINT (-85.490603 40.905739)
10001	SOUTHEAST ALABAMA MEDICAL CENTER	1108 ROSS CLARK CIRCLE	DOTHAN	AL	36301	Houston	35	8.75	17	4.25	41.66666667	10.41666667	0	0	23.41666667	POINT (-85.361725 31.214058)
220029	ANNA JAQUES HOSPITAL	25 HIGHLAND AVENUE	NEWBURYPORT	MA	1950	Essex	37.5	9.375	37	9.25	37.5	9.375	0	0	28	POINT (-70.889783 42.814358)
450132	MEDICAL CENTER HOSPITAL	500 W 4TH STREET	ODESSA	TX	79761	Ector	22.5	5.625	23	5.75	31.66666667	7.916666667	0	0	19.29166667	POINT (-102.37491 31.844399)
140002	ALTON MEMORIAL HOSPITAL	ONE MEMORIAL DRIVE	ALTON	IL	62002	Madison	52.5	13.125	20	5	55	13.75	50	12.5	44.375	
100080	JFK MEDICAL CENTER	5301 S CONGRESS AVE	ATLANTIS	FL	33462	Palm Beach	77.5	19.375	14	3.5	38.33333333	9.583333333	10	2.5	34.95833333	POINT (-80.09031000000002 26.598548)
100321	ASCENSION ST VINCENT'S CLAY COUNTY	1670 ST VINCENTS WAY	MIDDLEBURG	FL	32068	Clay	62.5	15.625	36	9	51.66666667	12.91666667	30	7.5	45.04166667	POINT (-81.831298 30.111135)
350015	SANFORD MEDICAL CENTER BISMARCK	300 N 7TH ST	BISMARCK	ND	58506	Burleigh	42.5	10.625	13	3.25	33.33333333	8.333333333	50	12.5	34.70833333	POINT (-100.78156300000002 46.807457)
230259	ST JOSEPH MERCY CHELSEA	775 S MAIN ST	CHELSEA	MI	48118	Washtenaw	43.33333333	10.83333333	94	23.5	90	22.5	70	17.5	74.33333333	POINT (-84.01657100000001 42.310594)
370056	COMANCHE COUNTY MEMORIAL HOSPITAL	3401 WEST GORE BLVD	LAWTON	OK	73505	Comanche	35	8.75	11	2.75	51.66666667	12.91666667	0	0	24.41666667	POINT (-98.434497 34.608969)
370034	MCALESTER REGIONAL HEALTH CENTER	ONE CLARK BASS BOULEVARD	MCALESTER	OK	74501	Pittsburg	60	15	13	3.25	80	20	50	12.5	50.75	
30055	KINGMAN REGIONAL MEDICAL CENTER	3269 STOCKTON HILL ROAD	KINGMAN	AZ	86409	Mohave	60	15	31	7.75	75	18.75	30	7.5	49	POINT (-114.035813 35.219907)
310048	ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET	110 REHILL AVE	SOMERVILLE	NJ	8876	Somerset	40	10	24	6	45	11.25	0	0	27.25	POINT (-74.595695 40.568854)
440193	TENNOVA HEALTHCARE-LEBANON	1411 BADDOUR PARKWAY	LEBANON	TN	37087	Wilson	52.5	13.125	25	6.25	47.5	11.875	0	0	31.25	POINT (-86.328318 36.219173)
310058	BERGEN NEW BRIDGE MEDICAL CENTER	230 EAST RIDGEWOOD AVE	PARAMUS	NJ	7652	Bergen	30	10	Not Available	Not Available	100	33.33333333	0	0	43.33333333	POINT (-74.062151 40.958602)
190040	SLIDELL MEMORIAL HOSPITAL	1001 GAUSE BLVD	SLIDELL	LA	70458	Saint Tammany	62.5	15.625	22	5.5	50	12.5	30	7.5	41.125	POINT (-89.770421 30.284651)
330202	KINGS COUNTY HOSPITAL CENTER	451 CLARKSON AVENUE	BROOKLYN	NY	11203	Kings	50	12.5	5	1.25	43.33333333	10.83333333	10	2.5	27.08333333	POINT (-73.944039 40.655773)
70018	GREENWICH HOSPITAL ASSOCIATION -	5 PERRYRIDGE RD	GREENWICH	CT	6830	Fairfield	92.5	23.125	65	16.25	51.66666667	12.91666667	10	2.5	54.79166667	POINT (-73.62963200000002 41.034395)
50523	SUTTER DELTA MEDICAL CENTER	3901 LONE TREE WAY	ANTIOCH	CA	94509	Contra Costa	60	15	8	2	48	12	30	7.5	36.5	POINT (-121.80468100000002 37.982295)
330055	NEW YORK-PRESBYTERIAN/QUEENS	56-45 MAIN STREET	FLUSHING	NY	11355	Queens	87.5	21.875	14	3.5	58.33333333	14.58333333	0	0	39.95833333	
440084	SWEETWATER HOSPITAL ASSOCIATION	304 WRIGHT ST	SWEETWATER	TN	37874	Monroe	50	12.5	52	13	40	10	20	5	40.5	POINT (-84.464223 35.60025)
450299	COLLEGE STATION MEDICAL CENTER	1604 ROCK PRAIRIE ROAD	COLLEGE STATION	TX	77842	Brazos	45	11.25	41	10.25	80	20	0	0	41.5	POINT (-96.291014 30.582626)
360065	FISHER-TITUS HOSPITAL	272 BENEDICT AVENUE	NORWALK	OH	44857	Huron	87.5	21.875	41	10.25	66.66666667	16.66666667	40	10	58.79166667	POINT (-82.602008 41.226034)
220086	BETH ISRAEL DEACONESS MEDICAL CENTER	330 BROOKLINE AVENUE	BOSTON	MA	2215	Suffolk	75	18.75	35	8.75	15	3.75	0	0	31.25	POINT (-71.105504 42.340575)
390119	MOSES TAYLOR HOSPITAL	700 QUINCY AVENUE	SCRANTON	PA	18510	Lackawanna	22.5	5.625	20	5	55	13.75	10	2.5	26.875	POINT (-75.650814 41.410675)
340023	PARK RIDGE HEALTH	100 HOSPITAL DRIVE	HENDERSONVILLE	NC	28792	Henderson	75	18.75	58	14.5	45	11.25	30	7.5	52	POINT (-82.488056 35.391907)
50745	CHAPMAN GLOBAL MEDICAL CENTER	2601 E CHAPMAN AVE	ORANGE	CA	92869	Orange	65	16.25	6	1.5	50	12.5	20	5	35.25	POINT (-117.827058 33.787878)
160047	METHODIST JENNIE EDMUNDSON	933 EAST PIERCE STREET	COUNCIL BLUFFS	IA	51503	Pottawattamie	22.5	5.625	47	11.75	24	6	30	7.5	30.875	POINT (-95.836128 41.268309)
50026	GROSSMONT HOSPITAL	5555 GROSSMONT CENTER DRIVE BOX 58	LA MESA	CA	91942	San Diego	92.5	23.125	16	4	56.66666667	14.16666667	0	0	41.29166667	POINT (-117.009178 32.779435)
220119	BRIGHAM AND WOMEN'S FAULKNER HOSPITAL	1153 CENTRE STREET	BOSTON	MA	2130	Suffolk	97.5	24.375	62	15.5	20	5	30	7.5	52.375	POINT (-71.127203 42.300886)
100029	NORTH SHORE MEDICAL CENTER	1100 NW 95TH ST	MIAMI	FL	33150	Miami-Dade	55	13.75	12	3	58.33333333	14.58333333	0	0	31.33333333	POINT (-80.214656 25.861658)
200031	CARY MEDICAL CENTER	"163 VAN BUREN RD, SUITE 1"	CARIBOU	ME	4736	Aroostook	35	8.75	68	17	90	22.5	60	15	63.25	POINT (-68.009639 46.878237)
450058	BAPTIST MEDICAL CENTER	111 DALLAS STREET	SAN ANTONIO	TX	78205	Bexar	45	11.25	36	9	41.66666667	10.41666667	0	0	30.66666667	POINT (-98.492773 29.432877000000005)
490024	CARILION ROANOKE MEMORIAL HOSPITAL	"1906 BELLEVIEW AVENUE, SE"	ROANOKE	VA	24014	Roanoke City	75	18.75	22	5.5	38.33333333	9.583333333	0	0	33.83333333	POINT (-79.942297 37.252046)
100132	SOUTH FLORIDA BAPTIST HOSPITAL	301 N ALEXANDER ST	PLANT CITY	FL	33563	Hillsborough	60	15	38	9.5	53.33333333	13.33333333	0	0	37.83333333	POINT (-82.138002 28.016163)
120026	PALI MOMI MEDICAL CENTER	98-1079 MOANALUA ROAD	AIEA	HI	96701	Honolulu	63.33333333	15.83333333	54	13.5	100	25	30	7.5	61.83333333	POINT (-157.937675 21.383988)
360270	MERCY HEALTH - DEFIANCE HOSPITAL	1404 EAST SECOND STREET	DEFIANCE	OH	43512	Defiance	66.66666667	22.22222222	67	22.33333333	Not Available	Not Available	20	6.666666667	51.22222222	POINT (-84.339625 41.282694)
170040	UNIVERSITY OF KANSAS HOSPITAL	4000 CAMBRIDGE STREET	KANSAS CITY	KS	66160	Wyandotte	87.5	21.875	61	15.25	15	3.75	0	0	40.875	POINT (-94.608229 39.055395)
430077	REGIONAL HEALTH RAPID CITY HOSPITAL	353 FAIRMONT BLVD  POST OFFICE BOX 6000	RAPID CITY	SD	57701	Pennington	40	10	18	4.5	21.66666667	5.416666667	10	2.5	22.41666667	POINT (-103.224964 44.05861)
390217	EXCELA HEALTH FRICK HOSPITAL	508 SOUTH CHURCH STREET	MOUNT PLEASANT	PA	15666	Westmoreland	76.66666667	25.55555556	47	15.66666667	Not Available	Not Available	10	3.333333333	44.55555556	POINT (-79.548217 40.146369)
260034	BATES COUNTY MEMORIAL HOSPITAL	615 W NURSERY ST	BUTLER	MO	64730	Bates	65	21.66666667	63	21	Not Available	Not Available	100	33.33333333	76	POINT (-94.343391 38.249611)
30121	"MOUNTAIN VISTA MEDICAL CENTER, LP"	1301 SOUTH CRISMON ROAD	MESA	AZ	85209	Maricopa	55	13.75	14	3.5	90	22.5	20	5	44.75	POINT (-111.615329 33.3911)
390183	ST LUKE'S MINERS MEMORIAL HOSPITAL	360 W RUDDLE STREET	COALDALE	PA	18218	Schuylkill	86.66666667	28.88888889	53	17.66666667	Not Available	Not Available	60	20	66.55555556	POINT (-75.914152 40.821619)
110027	"ST MARY'S SACRED HEART HOSPITAL, INC"	367 CLEAR CREEK PARKWAY	LAVONIA	GA	30553	Franklin	40	10	48	12	30	7.5	0	0	29.5	POINT (-83.130855 34.439485)
110146	SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS	2000 DAN PROCTOR DRIVE	SAINT MARYS	GA	31558	Camden	26.66666667	6.666666667	48	12	0	0	70	17.5	36.16666667	POINT (-81.616234 30.781226)
230236	METRO HEALTH HOSPITAL	"5900 BYRON CENTER AVENUE, SW"	WYOMING	MI	49519	Kent	50	12.5	38	9.5	25	6.25	50	12.5	40.75	POINT (-85.72293700000002 42.858067000000005)
360112	MERCY HEALTH ST VINCENT MEDICAL CENTER	2213 CHERRY STREET	TOLEDO	OH	43608	Lucas	60	15	27	6.75	61.66666667	15.41666667	0	0	37.16666667	POINT (-83.541725 41.668493)
50118	DOCTORS HOSPITAL OF MANTECA	1205 E NORTH STREET	MANTECA	CA	95336	San Joaquin	47.5	11.875	31	7.75	40	10	30	7.5	37.125	POINT (-121.19691000000002 37.801087)
50272	REDLANDS COMMUNITY HOSPITAL	350 TERRACINA BLVD	REDLANDS	CA	92373	San Bernardino	82.5	20.625	28	7	36.66666667	9.166666667	20	5	41.79166667	POINT (-117.20641400000001 34.038404)
440039	VANDERBILT UNIVERSITY MEDICAL CENTER	1211 MEDICAL CENTER DRIVE	NASHVILLE	TN	37232	Davidson	75	18.75	33	8.25	18.33333333	4.583333333	0	0	31.58333333	POINT (-86.800174 36.142832)
